Timestamp,"Вы поступили туда, куда хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Оцените качество методических пособий по учебным предметам (в том числе к лабораторным работам),Считаете ли вы дистанционное обучение эффективным?,"Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Считаете ли вы, что практика обязательного распределения приносит вам пользу (социальная защищённость, помощь в поиске первого рабочего места, и т.д.)","Считаете ли вы, что практика обязательного распределения приносит вам вред (ограниченность в выборе и смене рабочего места, невозможность продолжать учёбу за рубежом, и т.д.) ","Эмоции, которые вы получаете от всех частей учебного процесса, скорее",Желаете ли вы продолжить формальное образование с целью получения знаний после выпуска?,"Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",Интересуетесь ли вы общественно-политической ситуацией в Республике Беларусь? ,Есть ли у вас желание уехать из Республики Беларусь?,Состоите ли вы в БРСМ? ,"Как вы относитесь к БРСМ? (нет, нам не заплатили за этот опрос)","Выбираете ли вы не выражать публично свои общественно-политические взгляды под страхом возможных репрессий со стороны университета? (отчисление, лишение общежития, и т.д.)",Каких кандидатов в президенты на выборах 2020 вы поддерживаете? (вы можете не отвечать на этот вопрос. Мы выделили наиболее популярных кандидатов по результатам интернет-опросов),Какой курс вы сейчас заканчиваете? ,Ваш факультет,Ваша форма обучения,Ваш пол,И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
6/22/2020 16:12:39,"Университет - да, специальность - нет",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Ужасное,"Скорее да, чем нет",Часто,Часто,Нет,Да,Негативные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Скорее да, чем нет",Есть желание уехать,Да,Крайне отрицательно,Затрудняюсь ответить,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В., Другой кандидат",4,ФКСиС,Бюджетная,Мужской,Бугор,
6/22/2020 16:41:21,"Да, и университет, и специальность",Да,"Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета",Да,"Да, часто",Не хватает знаний выполнить самостоятельно,Нормальное,"Скорее да, чем нет",Часто,Часто,Нет,Да,Позитивные,"Да, в БГУИР",Я уже выпустился/выпускаюсь,"Да, активно интересуюсь",Не собираюсь уезжать,Нет,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Мужской,Ватрушка «Жанет»,
6/22/2020 16:42:18,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Да,Иногда,Часто,Нет,Да,Нейтральные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Мужской,Нет ,
6/22/2020 16:45:45,"Да, и университет, и специальность",Да,"Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Хорошее,"Скорее нет, чем да",Часто,Часто,Нет,Да,Нейтральные,"Да, но за рубежом",Получить диплом и выпуститься,"Скорее да, чем нет",Есть желание уехать,Нет,Отрицательно,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",4,ФКСиС,Бюджетная,Мужской,.,
6/22/2020 16:48:48,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Плохое,"Скорее нет, чем да",Иногда,Иногда,Нет,Да,Негативные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Да, активно интересуюсь",Есть желание уехать,Да,Отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Бюджетная,Женский,"в этом месте можно найти что-то большее, чем просто корочку, но этого нужно искренне хотеть 🙂"," я ❤️ опросы
"
6/22/2020 16:49:32,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Плохое,"Скорее да, чем нет",Часто,Часто,Нет,Да,Негативные,Затрудняюсь ответить,Я уже выпустился/выпускаюсь,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Нет,Крайне отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Женский,наконец-то это закончилось,
6/22/2020 16:50:19,"Да, и университет, и специальность",Да,"Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей",Да,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету",Нормальное,"Скорее да, чем нет",Иногда,Иногда,Нет,Да,Нейтральные,Нет,Я уже выпустился/выпускаюсь,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Затрудняюсь ответить,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Бюджетная,Мужской,Хабза,"Свободу политзаключенным! С любовью, Валера 228."
6/22/2020 16:52:57,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии",Да,"Да, часто",Нехватка времени,Ужасное,Да,Часто,Иногда,Нет,Да,Негативные,Нет,Получить диплом и выпуститься,"Да, активно интересуюсь",Есть желание уехать,Нет,Отрицательно,Да,Бабарико В.Д.,4,ФКСиС,Платная,Мужской,Слово,
6/22/2020 16:53:00,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Плохое,"Скорее нет, чем да",Иногда,Иногда,Нет,Нет,Нейтральные,Затрудняюсь ответить,Я уже выпустился/выпускаюсь,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Бюджетная,Мужской,¯\_(ツ)_/¯,
6/22/2020 16:53:06,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Плохое,Затрудняюсь ответить,Часто,Очень часто или постоянно,Нет,Да,Негативные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Скорее да, чем нет",Есть желание уехать,Нет,Крайне отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Бюджетная,Мужской,"Лучший айти-вуз страны, который не смог в нормальную удалёнку",
