Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
2,ФКП,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Затрудняюсь ответить,Нормальный,Иногда,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,"Шарага, но не такая шарага как другие вузы РБ",
1,ФРЭ,Бюджетная,Мужской,Нет,"Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,"Да, в другом месте",Не собираюсь уезжать,Слишком большой,Часто,Редко,Негативные,Получить диплом и выпуститься,...,
2,ИЭФ,Платная,Женский,Затрудняюсь ответить,Да,Нет,Друзья/знакомые/мнение родителей,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"Требует инноваций, как и все в этой стране",
2,ФИТУ,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета, Общежитие/возможность проживать в Минске",Практически не посещаю,Нет,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,Универ как универ,
1,ФИТУ,Бюджетная,Женский,"Университет - да, специальность - нет",Нет,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,Нехватка времени,"Да, в БГУИР",Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,БГУИР - знания и стиль жизни,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Нормальный,Иногда,Часто,Нейтральные,Доучиться,-,
1,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто","Нехватка времени, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Иногда,Очень часто или постоянно,Позитивные,Доучиться,Лучший IT-вуз страны,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Считаю БГУИР хорошим местом для получения знаний,Практически не посещаю,Нет,"Да, часто",Нехватка времени,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Получить диплом и выпуститься,Лучше чем другиес вузы в РБ,
4,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,"Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, часто",Не хватает знаний выполнить самостоятельно,"Да, в БГУИР",Есть желание уехать,Нормальный,Редко,Часто,Позитивные,Получить диплом и выпуститься,К!,
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Нужен диплом,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Слишком большой,Редко,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"Вуз, который, кажется, пытается следовать трендам, но получается у него это с переменным успехом.",Нет.
